iter	Passed	Remaining
0	147	44251
1	150	22408
2	153	15168
3	155	11502
4	157	9273
5	159	7825
6	163	6825
7	165	6038
8	168	5433
9	170	4947
10	173	4545
11	175	4220
12	178	3933
13	180	3682
14	181	3451
15	182	3240
16	183	3052
17	184	2897
18	185	2747
19	187	2618
20	188	2503
21	189	2395
22	190	2292
23	191	2199
24	192	2115
25	193	2037
26	194	1963
27	195	1896
28	196	1835
29	197	1777
30	198	1721
31	199	1669
32	200	1622
33	201	1575
34	202	1530
35	202	1487
36	203	1446
37	204	1408
38	205	1372
39	205	1338
40	206	1305
41	207	1274
42	208	1245
43	209	1216
44	209	1189
45	210	1161
46	211	1135
47	211	1111
48	212	1087
49	212	1064
50	213	1041
51	213	1020
52	214	1000
53	215	980
54	215	960
55	216	942
56	216	924
57	217	907
58	217	890
59	218	874
60	219	858
61	219	843
62	220	829
63	221	815
64	221	801
65	222	787
66	222	775
67	223	763
68	224	751
69	225	739
70	225	727
71	226	716
72	226	705
73	227	694
74	227	683
75	228	673
76	229	664
77	229	654
78	230	644
79	231	635
80	231	626
81	232	617
82	232	608
83	233	600
84	233	591
85	234	583
86	235	575
87	235	567
88	236	560
89	236	552
90	237	545
91	238	538
92	238	531
93	239	525
94	240	518
95	241	512
96	241	505
97	242	499
98	242	493
99	243	487
100	244	480
101	244	474
102	245	469
103	245	463
104	246	457
105	247	452
106	247	446
107	248	441
108	248	436
109	249	431
110	250	425
111	250	420
112	251	415
113	251	410
114	252	406
115	253	401
116	253	396
117	254	392
118	254	387
119	255	383
120	256	379
121	257	375
122	257	371
123	258	366
124	259	362
125	259	358
126	260	354
127	260	350
128	261	346
129	262	342
130	262	339
131	263	335
132	264	331
133	264	327
134	265	324
135	265	320
136	266	316
137	267	313
138	267	310
139	268	306
140	269	303
141	269	300
142	270	296
143	271	293
144	271	290
145	272	287
146	273	284
147	274	281
148	274	278
149	275	275
150	276	272
151	276	269
152	277	266
153	277	263
154	278	260
155	279	257
156	279	254
157	280	251
158	280	248
159	281	246
160	281	243
161	282	240
162	283	238
163	283	235
164	284	232
165	284	230
166	285	227
167	286	224
168	286	222
169	287	219
170	288	217
171	289	215
172	289	212
173	290	210
174	291	207
175	291	205
176	292	203
177	292	200
178	293	198
179	293	195
180	294	193
181	295	191
182	295	189
183	296	186
184	296	184
185	297	182
186	298	180
187	298	177
188	299	175
189	299	173
190	300	171
191	301	169
192	301	167
193	302	165
194	302	163
195	303	161
196	304	159
197	304	157
198	305	155
199	306	153
200	307	151
201	308	149
202	308	147
203	309	145
204	309	143
205	310	141
206	311	139
207	311	137
208	312	135
209	312	134
210	313	132
211	313	130
212	314	128
213	314	126
214	315	124
215	316	122
216	316	121
217	317	119
218	317	117
219	318	115
220	319	114
221	319	112
222	320	110
223	321	108
224	321	107
225	322	105
226	323	104
227	324	102
228	324	100
229	325	99
230	326	97
231	326	95
232	327	94
233	327	92
234	328	90
235	329	89
236	329	87
237	330	86
238	331	84
239	331	82
240	332	81
241	332	79
242	333	78
243	333	76
244	334	75
245	335	73
246	336	72
247	337	70
248	337	69
249	338	67
250	339	66
251	339	64
252	340	63
253	341	61
254	341	60
255	342	58
256	343	57
257	343	55
258	344	54
259	344	53
260	345	51
261	346	50
262	346	48
263	347	47
264	348	45
265	348	44
266	349	43
267	350	41
268	350	40
269	351	39
270	352	37
271	352	36
272	353	34
273	354	33
274	354	32
275	355	30
276	355	29
277	356	28
278	357	26
279	357	25
280	358	24
281	358	22
282	359	21
283	359	20
284	360	18
285	361	17
286	361	16
287	362	15
288	363	13
289	363	12
290	364	11
291	364	9
292	365	8
293	365	7
294	366	6
295	367	4
296	367	3
297	368	2
298	369	1
299	369	0
