iter	Passed	Remaining
0	1	387
1	2	407
2	4	403
3	6	448
4	7	461
5	9	461
6	10	447
7	11	437
8	12	420
9	14	422
10	15	415
11	16	404
12	17	397
13	18	383
14	19	371
15	20	361
16	21	350
17	22	346
18	23	340
19	23	335
20	24	327
21	25	319
22	25	312
23	26	305
24	27	298
25	27	292
26	28	286
27	28	281
28	29	276
29	30	272
30	30	267
31	31	263
32	32	259
33	32	255
34	33	251
35	33	248
36	34	244
37	34	241
38	35	238
39	36	236
40	36	233
41	37	231
42	38	230
43	39	228
44	39	226
45	40	224
46	41	221
47	41	219
48	42	216
49	42	214
50	43	211
51	43	209
52	44	207
53	45	205
54	45	203
55	46	201
56	46	200
57	47	198
58	48	196
59	48	194
60	49	193
61	49	191
62	50	189
63	51	188
64	51	186
65	52	185
66	52	183
67	53	183
68	54	182
69	55	181
70	55	180
71	56	178
72	57	177
73	57	176
74	58	174
75	58	173
76	59	172
77	60	170
78	60	169
79	61	168
80	61	166
81	62	165
82	62	164
83	63	163
84	64	161
85	64	160
86	65	159
87	65	158
88	66	157
89	67	156
90	67	155
91	68	154
92	68	153
93	69	152
94	70	152
95	71	151
96	72	150
97	72	149
98	73	148
99	73	147
100	74	146
101	75	145
102	75	144
103	76	143
104	76	142
105	77	141
106	77	140
107	78	139
108	79	138
109	79	137
110	80	136
111	80	135
112	81	134
113	82	134
114	82	133
115	83	132
116	83	131
117	84	130
118	85	129
119	86	129
120	86	128
121	87	127
122	88	126
123	88	126
124	89	125
125	90	124
126	90	123
127	91	122
128	91	121
129	92	120
130	92	119
131	93	119
132	94	118
133	94	117
134	95	116
135	95	115
136	96	114
137	97	114
138	97	113
139	98	112
140	99	111
141	99	110
142	100	110
143	100	109
144	101	108
145	102	107
146	103	107
147	103	106
148	104	105
149	104	104
150	105	104
151	106	103
152	106	102
153	107	101
154	107	101
155	108	100
156	109	99
157	109	98
158	110	97
159	110	97
160	111	96
161	112	95
162	112	94
163	113	93
164	113	93
165	114	92
166	114	91
167	115	90
168	116	89
169	116	89
170	117	88
171	118	87
172	119	87
173	119	86
174	120	86
175	121	85
176	121	84
177	122	83
178	123	83
179	123	82
180	124	81
181	124	80
182	125	80
183	126	79
184	126	78
185	127	78
186	127	77
187	128	76
188	128	75
189	129	75
190	130	74
191	130	73
192	131	72
193	131	72
194	132	71
195	133	70
196	134	70
197	134	69
198	135	68
199	136	68
200	136	67
201	137	66
202	138	65
203	138	65
204	139	64
205	139	63
206	140	63
207	140	62
208	141	61
209	142	60
210	142	60
211	143	59
212	143	58
213	144	58
214	144	57
215	145	56
216	146	55
217	146	55
218	147	54
219	147	53
220	148	53
221	149	52
222	150	51
223	150	51
224	151	50
225	152	49
226	153	49
227	154	48
228	154	47
229	155	47
230	155	46
231	156	45
232	157	45
233	157	44
234	158	43
235	158	43
236	159	42
237	159	41
238	160	40
239	161	40
240	161	39
241	162	38
242	162	38
243	163	37
244	164	36
245	164	36
246	165	35
247	166	34
248	167	34
249	168	33
250	168	32
251	169	32
252	170	31
253	170	30
254	171	30
255	171	29
256	172	28
257	172	28
258	173	27
259	174	26
260	174	26
261	175	25
262	175	24
263	176	24
264	176	23
265	177	22
266	178	22
267	178	21
268	179	20
269	179	19
270	180	19
271	181	18
272	182	18
273	182	17
274	183	16
275	184	16
276	185	15
277	185	14
278	186	14
279	187	13
280	188	12
281	189	12
282	189	11
283	190	10
284	191	10
285	191	9
286	192	8
287	192	8
288	193	7
289	194	6
290	194	6
291	195	5
292	195	4
293	196	4
294	197	3
295	197	2
296	198	2
297	199	1
298	200	0
299	201	0
